name,role,genres,imdb_score,type,production_countries,release_year,runtime,tmdb_score,imdb_votes
Joe Besser,ACTOR,"['comedy', 'family', 'animation', 'action', 'fantasy', 'horror']",8.6,SHOW,['US'],1934,19,7.6,1092.0
Moe Howard,ACTOR,"['comedy', 'family', 'animation', 'action', 'fantasy', 'horror']",8.6,SHOW,['US'],1934,19,7.6,1092.0
Larry Fine,ACTOR,"['comedy', 'family', 'animation', 'action', 'fantasy', 'horror']",8.6,SHOW,['US'],1934,19,7.6,1092.0
Buster Keaton,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Marion Mack,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Glen Cavender,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Jim Farley,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Frederick Vroom,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Charles Henry Smith,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Joe Keaton,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Al St. John,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Frank Barnes,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Mike Donlin,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Tom Nawn,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Jimmy Bryant,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Budd Fine,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Ray Hanford,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Charles Phillips,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Eddie Foster,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Frank Hagney,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Jack Hanlon,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Edward Hearn,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Hilliard Karr,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Louis Lewyn,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Elgin Lessley,ACTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Clyde Bruckman,DIRECTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Buster Keaton,DIRECTOR,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,MOVIE,['US'],1926,78,8.0,89766.0
Myrna Loy,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Fredric March,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Dana Andrews,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Teresa Wright,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Virginia Mayo,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Cathy O'Donnell,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Hoagy Carmichael,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Harold Russell,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Gladys George,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Roman Bohnen,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Ray Collins,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Minna Gombell,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Walter Baldwin,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Steve Cochran,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Dorothy Adams,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Don Beddoe,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Marlene Aames,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Charles Halton,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
Ray Teal,ACTOR,"['romance', 'war', 'drama']",8.1,MOVIE,['US'],1946,171,7.8,63026.0
